,Title,Year
1,Red Notice,2021
2,Spider-Man: No Way Home,2021
3,Shang-Chi and the Legend of the Ten Rings,2021
4,Eternals,2021
5,Dune: Part One,2021
6,No Time to Die,2021
7,Ghostbusters: Afterlife,2021
8,Jai Bhim,2021
9,Last Night in Soho,2021
10,Jungle Cruise,2021
11,Don't Look Up,2021
12,The Harder They Fall,2021
13,House of Gucci,2021
14,Finch,2021
15,Love Hard,2021
16,"tick, tick...BOOM!",2021
17,The French Dispatch,2021
18,Home Sweet Home Alone,2021
19,Army of Thieves,2021
20,King Richard,2021
21,Venom: Let There Be Carnage,2021
22,Spencer,2021
23,Free Guy,2021
24,Clifford the Big Red Dog,2021
25,Dune,1984
26,Passing,2021
27,The Power of the Dog,2021
28,The Matrix Resurrections,2021
29,Ghostbusters,1984
30,Black Widow,2021
31,The Last Duel,2021
32,Belfast,2021
33,The Suicide Squad,2021
34,Resident Evil: Welcome to Raccoon City,2021
35,Harry Potter and the Sorcerer's Stone,2001
36,Nightmare Alley,2021
37,Downton Abbey: A New Era,2022
38,The Shawshank Redemption,1994
39,Home Alone,1990
40,Spectre,2015
41,Silent Night,2021
42,Army of the Dead,2021
43,The Batman,2022
44,Licorice Pizza,2021
45,Encanto,2021
46,Old,2021
47,West Side Story,2021
48,365 dni,2020
49,Spider-Man,2002
50,Father Christmas Is Back,2021
51,The Godfather,1972
52,Nocturnal Animals,2016
53,Killers of the Flower Moon,2022
54,Avengers: Endgame,2019
55,Antlers,2021
56,Benedetta,2021
57,The King,2019
58,Knives Out,2019
59,Casino Royale,2006
60,Spider-Man: Homecoming,2017
61,Interstellar,2014
62,The Guilty,2021
63,Cruella,2021
64,Titane,2021
65,Dazed and Confused,1993
66,Apex,2021
67,The Green Knight,2021
68,Dhamaka,2021
69,Blade Runner 2049,2017
70,Spider-Man: Far from Home,2019
71,Once Upon a Time... in Hollywood,2019
72,The Electrical Life of Louis Wain,2021
73,Halloween Kills,2021
74,7 Prisioneiros,2021
75,The Outsiders,1983
76,Titanic,1997
77,Bruised,2020
78,The Matrix,1999
79,Enchanted,2007
80,The Black Phone,2021
81,The Wolf of Wall Street,2013
82,The Amazing Spider-Man,2012
83,The Princess Switch 3: Romancing the Star,2021
84,Love Actually,2003
85,Love,2015
86,Joker,2019
87,Venom,2018
88,Promising Young Woman,2020
89,National Lampoon's Christmas Vacation,1989
90,The Dark Knight,2008
91,F9,2021
92,The Many Saints of Newark,2021
93,Jumanji: The Next Level,2019
94,Skyfall,2012
95,Gisaengchung,2019
96,After We Fell,2021
97,Sooryavanshi,2021
98,The Lord of the Rings: The Fellowship of the Ring,2001
99,The Amazing Spider-Man 2,2014
100,Zeros and Ones,2021
