,Title,Year
1,The Wheel of Time,2021
2,Arcane: League of Legends,2021
3,Yellowstone,2018
4,Succession,2018
5,Dexter: New Blood,2021
6,Cowboy Bebop,2021
7,Dopesick,2021
8,You,2018
9,Mayor of Kingstown,2021
10,Dexter,2006
11,Ojing-eo geim,2021
12,Narcos: México,2018
13,Foundation,2021
14,Game of Thrones,2011
15,The Shrink Next Door,2021
16,The Morning Show,2019
17,Big Mouth,2017
18,Ted Lasso,2020
19,Seinfeld,1989
20,Yellowjackets,2021
21,Stranger Things,2016
22,Doctor Who,2005
23,Maid,2021
24,Jiok,2021
25,Grey's Anatomy,2005
26,The Office,2005
27,The Walking Dead,2010
28,Pam & Tommy,2022
29,Halo,2022
30,Midnight Mass,2021
31,The Sopranos,1999
32,Locke & Key,2020
33,Curb Your Enthusiasm,2000
34,The Blacklist,2013
35,The Great,2020
36,Peaky Blinders,2013
37,NCIS: Naval Criminal Investigative Service,2003
38,Sex Education,2019
39,American Horror Story,2011
40,Breaking Bad,2008
41,Chucky,2021
42,The Witcher,2019
43,The Flash,2014
44,Hawkeye,2021
45,The Sex Lives of College Girls,2021
46,Young Sheldon,2017
47,The Sinner,2017
48,Star Trek: Discovery,2017
49,Invasion,2021
50,The Lost Symbol,2021
51,Law & Order: Special Victims Unit,1999
52,The Mandalorian,2019
53,American Crime Story,2016
54,"Tiger King: Murder, Mayhem and Madness",2020
55,Friends,1994
56,Castle,2009
57,Chicago Fire,2012
58,The Rookie,2018
59,Criminal Minds,2005
60,Supernatural,2005
61,The Big Bang Theory,2007
62,What We Do in the Shadows,2016
63,Downton Abbey,2010
64,Riverdale,2017
65,The Good Doctor,2017
66,Only Murders in the Building,2021
67,La casa de papel,2017
68,Lucifer,2016
69,Vikings,2013
70,Shetland,2013
71,Bones,2005
72,The Expanse,2015
73,Shameless,2011
74,The Boys,2019
75,Fear the Walking Dead,2015
76,9-1-1,2018
77,La Brea,2021
78,It's Always Sunny in Philadelphia,2005
79,Black Mirror,2011
80,Dhindora,2021
81,Big Sky,2020
82,The Crown,2016
83,Legacies,2018
84,Modern Family,2009
85,Brooklyn Nine-Nine,2013
86,Doom Patrol,2019
87,Better Call Saul,2015
88,Dalgliesh,2021
89,The Outlaws,2021
90,Outlander,2014
91,The Simpsons,1989
92,The Vampire Diaries,2009
93,Kaubôi bibappu,1998
94,The Umbrella Academy,2019
95,The Wire,2002
96,Loki,2021
97,Narcos,2015
98,Ghosts,2021
99,Suits,2011
100,Ozark,2017
